iter	Passed	Remaining
0	1	102
1	1	93
2	2	88
3	3	81
4	4	80
5	4	78
6	5	76
7	6	75
8	7	75
9	8	73
10	8	72
11	10	73
12	11	74
13	12	74
14	12	73
15	13	72
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	65
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	58
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	36
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	51	30
63	52	29
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
